name,digits,dividend,divisor,expected
Division_1d_1,1,4,5,0
Division_1d_2,1,4,4,1
Division_1d_3,1,1,9,0
Division_1d_4,1,6,2,3
Division_1d_5,1,7,4,1
Division_1d_6,1,7,9,0
Division_1d_7,1,5,6,0
Division_1d_8,1,8,2,4
Division_1d_9,1,6,6,1
Division_1d_10,1,8,9,0
Division_1d_11,1,8,2,4
Division_1d_12,1,8,5,1
Division_1d_13,1,4,2,2
Division_1d_14,1,2,3,0
Division_1d_15,1,9,6,1
Division_1d_16,1,6,3,2
Division_1d_17,1,3,9,0
Division_1d_18,1,9,2,4
Division_1d_19,1,9,3,3
Division_1d_20,1,6,5,1
Division_1d_21,1,9,9,1
Division_1d_22,1,5,5,1
Division_1d_23,1,3,9,0
Division_1d_24,1,5,5,1
Division_1d_25,1,1,3,0
Division_1d_26,1,3,3,1
Division_1d_27,1,6,6,1
Division_1d_28,1,8,5,1
Division_1d_29,1,9,9,1
Division_1d_30,1,4,2,2
Division_1d_31,1,7,8,0
Division_1d_32,1,8,4,2
Division_1d_33,1,9,5,1
Division_1d_34,1,1,2,0
Division_1d_35,1,7,9,0
Division_1d_36,1,6,8,0
Division_1d_37,1,3,8,0
Division_1d_38,1,3,4,0
Division_1d_39,1,2,9,0
Division_1d_40,1,3,9,0
Division_1d_41,1,8,5,1
Division_1d_42,1,6,5,1
Division_1d_43,1,5,2,2
Division_1d_44,1,4,4,1
Division_1d_45,1,4,7,0
Division_1d_46,1,9,8,1
Division_1d_47,1,3,8,0
Division_1d_48,1,1,9,0
Division_1d_49,1,4,8,0
Division_1d_50,1,4,2,2
Division_1d_51,1,7,6,1
Division_1d_52,1,5,3,1
Division_1d_53,1,3,6,0
Division_1d_54,1,6,8,0
Division_1d_55,1,6,9,0
Division_1d_56,1,6,3,2
Division_1d_57,1,2,6,0
Division_1d_58,1,2,8,0
Division_1d_59,1,6,8,0
Division_1d_60,1,7,6,1
Division_1d_61,1,3,8,0
Division_1d_62,1,7,2,3
Division_1d_63,1,2,3,0
Division_1d_64,1,5,2,2
Division_1d_65,1,9,6,1
Division_1d_66,1,9,8,1
Division_1d_67,1,5,8,0
Division_1d_68,1,7,4,1
Division_1d_69,1,2,6,0
Division_1d_70,1,1,4,0
Division_1d_71,1,8,9,0
Division_1d_72,1,7,7,1
Division_1d_73,1,1,7,0
Division_1d_74,1,1,2,0
Division_1d_75,1,4,4,1
Division_1d_76,1,8,5,1
Division_1d_77,1,8,7,1
Division_1d_78,1,9,7,1
Division_1d_79,1,3,9,0
Division_1d_80,1,8,9,0
Division_1d_81,1,1,4,0
Division_1d_82,1,6,6,1
Division_1d_83,1,5,4,1
Division_1d_84,1,6,6,1
Division_1d_85,1,9,6,1
Division_1d_86,1,3,3,1
Division_1d_87,1,8,7,1
Division_1d_88,1,4,8,0
Division_1d_89,1,9,3,3
Division_1d_90,1,3,4,0
Division_1d_91,1,7,9,0
Division_1d_92,1,8,7,1
Division_1d_93,1,7,5,1
Division_1d_94,1,3,9,0
Division_1d_95,1,2,3,0
Division_1d_96,1,3,8,0
Division_1d_97,1,5,8,0
Division_1d_98,1,9,3,3
Division_1d_99,1,3,9,0
Division_1d_100,1,2,6,0
Division_1d_101,1,5,7,0
Division_1d_102,1,2,9,0
Division_1d_103,1,6,6,1
Division_1d_104,1,5,7,0
Division_1d_105,1,8,3,2
Division_1d_106,1,1,3,0
Division_1d_107,1,2,6,0
Division_1d_108,1,1,2,0
Division_1d_109,1,1,4,0
Division_1d_110,1,1,8,0
Division_1d_111,1,2,9,0
Division_1d_112,1,1,3,0
Division_1d_113,1,9,2,4
Division_1d_114,1,6,2,3
Division_1d_115,1,3,5,0
Division_1d_116,1,3,5,0
Division_1d_117,1,9,6,1
Division_1d_118,1,4,6,0
Division_1d_119,1,2,3,0
Division_1d_120,1,7,8,0
Division_1d_121,1,2,2,1
Division_1d_122,1,3,9,0
Division_1d_123,1,6,3,2
Division_1d_124,1,6,6,1
Division_1d_125,1,5,6,0
Division_1d_126,1,6,9,0
Division_1d_127,1,4,3,1
Division_1d_128,1,9,8,1
Division_1d_129,1,6,3,2
Division_1d_130,1,7,5,1
Division_1d_131,1,5,8,0
Division_1d_132,1,5,4,1
Division_1d_133,1,4,4,1
Division_1d_134,1,8,2,4
Division_1d_135,1,5,3,1
Division_1d_136,1,5,4,1
Division_1d_137,1,1,8,0
Division_1d_138,1,5,7,0
Division_1d_139,1,2,9,0
Division_1d_140,1,8,7,1
Division_1d_141,1,5,6,0
Division_1d_142,1,2,4,0
Division_1d_143,1,2,6,0
Division_1d_144,1,6,5,1
Division_1d_145,1,6,5,1
Division_1d_146,1,9,9,1
Division_1d_147,1,1,7,0
Division_1d_148,1,9,7,1
Division_1d_149,1,9,6,1
Division_1d_150,1,8,6,1
Division_1d_151,1,6,8,0
Division_1d_152,1,4,2,2
Division_1d_153,1,9,9,1
Division_1d_154,1,5,7,0
Division_1d_155,1,3,5,0
Division_1d_156,1,3,8,0
Division_1d_157,1,8,5,1
Division_1d_158,1,6,8,0
Division_1d_159,1,7,4,1
Division_1d_160,1,9,2,4
Division_1d_161,1,7,2,3
Division_1d_162,1,3,9,0
Division_1d_163,1,2,2,1
Division_1d_164,1,8,3,2
Division_1d_165,1,4,9,0
Division_1d_166,1,9,5,1
Division_1d_167,1,6,3,2
Division_1d_168,1,1,3,0
Division_1d_169,1,2,5,0
